Date,Temperature,Humidity,Pressure,Wind speed,AQI,east,east-northeast,east-southeast,north,north-east,north-northeast,north-northwest,north-west,south,south-east,south-southeast,south-southwest,south-west,west,west-northwest,west-southwest,variable wind direction
2023-07-07 00:00:00,23.0,51.0,691.0,0.1,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2023-07-07 06:00:00,20.0,56.0,691.0,2.0,10.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-07 12:00:00,28.0,34.0,692.0,1.0,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-08 00:00:00,21.0,51.0,692.0,2.0,10.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-08 06:00:00,19.0,55.0,692.0,2.0,10.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-08 12:00:00,29.0,33.0,693.0,1.0,10.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-08 18:00:00,29.0,29.0,692.0,2.0,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2023-07-09 00:00:00,24.0,37.0,692.0,1.0,10.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-09 00:00:00,26.0,45.0,692.0,2.0,10.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-09 06:00:00,21.0,44.0,692.0,2.0,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-09 12:00:00,30.0,27.0,693.0,2.0,10.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-09 18:00:00,31.0,22.0,692.0,2.0,10.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-10 00:00:00,25.0,31.0,692.0,2.0,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-10 06:00:00,21.0,39.0,692.0,2.0,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2023-07-10 12:00:00,31.0,22.0,692.0,1.0,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-10 18:00:00,33.0,24.0,691.0,2.0,10.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2023-07-11 00:00:00,26.0,22.0,692.0,2.0,10.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2023-07-11 06:00:00,22.0,38.0,691.0,2.0,10.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-11 12:00:00,31.0,22.0,691.0,1.0,10.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-11 18:00:00,34.0,15.0,691.0,2.0,10.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2023-07-12 00:00:00,26.0,21.0,691.0,2.0,10.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-12 06:00:00,21.0,34.0,690.0,1.0,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2023-07-12 12:00:00,32.0,18.0,691.0,1.0,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-07-12 18:00:00,36.0,9.0,690.0,2.0,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
